"Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","Hour","Day"
"2015-00032126",2015-06-04 00:35:00,"61ST ST / HERZOG ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",0,"5"
"2015-00032127",2015-06-04 00:37:00,"2500 BLOCK TELEGRAPH AVE","1194","",1,"HM2IWN","Hispanic","Male","18-29","Investigation","Warning","No Search",0,"5"
"2015-00032132",2015-06-04 02:26:00,"2400 BLOCK DURANT ST","1194","",1,"WM3IWS","White","Male","30-39","Investigation","Warning","Search",2,"5"
"2015-00032146",2015-06-04 04:47:00,"KITTREDGE ST / MILVIA ST","1194","",1,"WM4RWN","White","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",4,"5"
"2015-00032152",2015-06-04 07:15:00,"1800 BLOCK EUCLID AVE","1194","M",1,"BM3ICN","Black","Male","30-39","Investigation","Citation","No Search",7,"5"
"2015-00032179",2015-06-04 10:11:00,"DURANT AVE / SHATTUCK AVE","1194","",1,"WM3TCN","White","Male","30-39","Traffic","Citation","No Search",10,"5"
"2015-00032194",2015-06-04 12:12:00,"2200 BLOCK SHATTUCK AVE","1194","",1,"BM4RWN","Black","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",12,"5"
"2015-00032214",2015-06-04 13:02:00,"UNIVERSITY AVE / M L KING JR WAY","T","",1,"AF2TCN","Asian","Female","18-29","Traffic","Citation","No Search",13,"5"
"2015-00032217",2015-06-04 13:29:00,"M L KING JR WAY / ALLSTON WAY","T","",1,"HM1TCN","Hispanic","Male","0-18","Traffic","Citation","No Search",13,"5"
"2015-00032219",2015-06-04 13:30:00,"UNIVERSITY AVE / MARINA BLVD","1194","",1,"AF4IWN","Asian","Female","40+","Investigation","Warning","No Search",13,"5"
"2015-00032223",2015-06-04 13:47:00,"M L KING JR WAY / CHANNING WAY","T","",1,"WM3TCN","White","Male","30-39","Traffic","Citation","No Search",13,"5"
"2015-00032228",2015-06-04 14:22:00,"BERKELEY WAY / HENRY ST","T","",1,"HM4TCN","Hispanic","Male","40+","Traffic","Citation","No Search",14,"5"
"2015-00032240",2015-06-04 15:53:00,"1900 BLOCK SAN PABLO AVE","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",15,"5"
"2015-00032243",2015-06-04 16:09:00,"1400 BLOCK SIXTH ST","1196","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",16,"5"
"2015-00032244",2015-06-04 16:13:00,"M L KING JR WAY / DERBY ST","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",16,"5"
"2015-00032265",2015-06-04 17:45:00,"2700 BLOCK DWIGHT WAY","1194","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",17,"5"
"2015-00032271",2015-06-04 18:22:00,"UNIVERSITY AVE / SAN PABLO AVE","1194","FC",1,"BM4RCN","Black","Male","40+","Probation/ Paroleeasonable Suspicion","Citation","No Search",18,"5"
"2015-00032294",2015-06-04 20:51:00,"2400 BLOCK 7TH","1196","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",20,"5"
"2015-00032298",2015-06-04 21:10:00,"BANCROFT WAY / DANA ST","T","TOW",1,"HM2TCS","Hispanic","Male","18-29","Traffic","Citation","Search",21,"5"
"2015-00032303",2015-06-04 21:31:00,"SAN PABLO AVE / DWIGHT WAY","T","",1,"WM4TAN","White","Male","40+","Traffic","Arrest","No Search",21,"5"
"2015-00032312",2015-06-04 22:05:00,"2400 BLOCK DURANT AVE","T","",1,"AM2TCN","Asian","Male","18-29","Traffic","Citation","No Search",22,"5"
"2015-00032319",2015-06-04 22:44:00,"BANCROFT WAY / CURTIS ST","1194B","FC",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",22,"5"
"2015-00032325",2015-06-04 23:12:00,"HARMON ST / KING ST","1196","",1,"BM2TWS","Black","Male","18-29","Traffic","Warning","Search",23,"5"
"2015-00032328",2015-06-04 23:32:00,"BYRON ST/ALLSON WAY","T","",1,"AF3TWN","Asian","Female","30-39","Traffic","Warning","No Search",23,"5"
"2015-00032330",2015-06-04 23:44:00,"SOLANO/COLUSA","T","",1,"WM2TWN","White","Male","18-29","Traffic","Warning","No Search",23,"5"
"2015-00032338",2015-06-05 00:23:00,"DURANT AVE / BOWDITCH ST","T","",1,"BM3TCN","Black","Male","30-39","Traffic","Citation","No Search",0,"6"
"2015-00032340",2015-06-05 00:57:00,"FULTON ST / PRINCE ST","1196","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",0,"6"
"2015-00032354",2015-06-05 03:50:00,"SIXTH ST / VIRGINIA ST","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",3,"6"
"2015-00032368",2015-06-05 07:39:00,"1800 BLOCK ARCH ST","T","",1,"BF3TWN","Black","Female","30-39","Traffic","Warning","No Search",7,"6"
"2015-00032414",2015-06-05 12:28:00,"HAROLD WAY / ALLSTON WAY","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",12,"6"
"2015-00032418",2015-06-05 12:46:00,"ADDISON ST / MILVIA ST","T","",1,"WF4TCN","White","Female","40+","Traffic","Citation","No Search",12,"6"
"2015-00032420",2015-06-05 12:53:00,"SHATTUCK AVE / ALLSTON WAY","T","",1,"AM2TCN","Asian","Male","18-29","Traffic","Citation","No Search",12,"6"
"2015-00032423",2015-06-05 13:04:00,"SACRAMENTO ST / ROSE ST","T","",1,"HM3TWN","Hispanic","Male","30-39","Traffic","Warning","No Search",13,"6"
"2015-00032433",2015-06-05 13:53:00,"BANCROFT WAY / DANA ST","T","",1,"WF4TCN","White","Female","40+","Traffic","Citation","No Search",13,"6"
